Store_Name,Aug,Sep,Oct,Nov,Dec,Average_Attach,Volatility,Cluster
Ghodbunder Br,0.11,0.14,0.21,0.16,0.31,0.186,0.07002856560004639,2
Goregaon (E) Br,0.07,0.25,0.1,0.16,0.11,0.138,0.06305553108173778,1
Goregaon (W) Br,0.17,0.29,0.29,0.26,0.44,0.29,0.08694826047713664,3
Haryana(Dundahera),0.11,0.2,0.17,0.1,0.1,0.13599999999999998,0.041279534881100595,1
Haryana(Faridabad) Br,0.08,0.15,0.33,0.25,0.23,0.20800000000000002,0.08588364221433556,2
Haryana(Gurgaon) Br,0.04,0.28,0.15,0.26,0.21,0.188,0.08657944328765345,2
Haryana(Jacobpura) Br,0.02,0.22,0.13,0.25,0.27,0.178,0.09239047569960879,2
Haryana(M G Road) Br,0.03,0.0,0.16,0.07,1.0,0.252,0.3778571158520109,0
Haryana(Mewla M.) Br,0.15,0.36,0.33,0.4,0.52,0.35200000000000004,0.11989995829857492,3
Haryana(New Faridabad),0.04,0.0,0.12,0.22,0.36,0.148,0.12998461447417536,2
Haryana(Palam Vihar Rd),0.0,0.06,0.12,0.15,0.07,0.07999999999999999,0.05176871642217914,1
Haryana(Sec-65 Ext Gurugram),0.26,0.15,0.19,0.27,0.3,0.23400000000000004,0.05535341001239219,2
Infiniti Br,0.13,0.09,0.12,0.19,0.0,0.10600000000000001,0.06216108107168022,1
Kalyan Br,0.05,0.09,0.13,0.18,0.2,0.13,0.055497747702046435,1
Kalyan(Khadakpada),0.17,0.15,0.26,0.22,0.11,0.182,0.052687759489277966,2
Kharghar Br,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kharghar(Patel Heritage),0.05,0.15,0.03,0.2,0.15,0.11600000000000002,0.06499230723708768,1
Linking Road Br,0.31,0.3,0.38,0.42,0.04,0.29,0.132664991614216,3
MAHIM(VS Next),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mahim Br,0.1,0.26,0.15,0.4,0.0,0.182,0.13746272221951666,2
Malad,0.1,0.11,0.13,0.14,0.27,0.15,0.061644140029689765,2
Mira Road Br,0.07,0.22,0.28,0.27,0.2,0.20800000000000002,0.07520638270785267,2
Mumbra(Kausa),0.06,0.0,0.05,0.11,0.17,0.078,0.05775811631277461,1
Nallasopara Br,0.03,0.05,0.02,0.08,0.25,0.086,0.08452218643646175,1
Opera House Br,0.24,0.22,0.2,0.21,0.23,0.21999999999999997,0.014142135623730947,2
Palghar,0.16,0.29,0.25,0.3,0.33,0.266,0.05885575587824864,2
Panvel Br,0.22,0.18,0.27,0.18,0.18,0.20600000000000002,0.03555277766926237,2
Prabhadevi Br,0.19,0.24,0.18,0.28,0.3,0.238,0.04749736834815167,2
Pune(Baner) Br,0.19,0.19,0.29,0.25,0.26,0.236,0.03979949748426479,2
Pune(Bhosari) Br,0.32,0.13,0.36,0.33,0.33,0.29400000000000004,0.08309031231136395,3
Pune(Chinchwad) Br,0.26,0.17,0.3,0.31,0.29,0.266,0.050833060108555324,2
Pune(Dange Chowk),0.0,0.0,0.56,0.7,0.58,0.368,0.3042630440917858,0
